Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Mnemonica,http://mnemonica.com/,,"SaaS platform that includes Media Asset Management, Project Management, Team Management, Data Tracking & Data Mining tools dedicated to the audio-visual industry",Generic,50,Company shows potential for expansion; recent funding indicates growth ambitions.,"Could explore partnerships with Dutch firms in the IT sector, focusing on innovative solutions.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Recent funding round of €0.03M announced in Feb 2024 for growth. Website: Company aims for EU market entry.,media,0;4554;44106;90471;142899;182344;311318;310909;;;,;;;869;105;58;28;71;0;;;,13,18,2015,,0.15,feb/2024,SEED,0.03,Italy,Rome,Europe;Italy;Rome,https://www.linkedin.com/company/mnemonicadotcom/,0,FALSE,Unknown,0,0,0,0,0,0
Media Distillery,https://www.mediadistillery.com/,,Provides unique AI technology to understand what’s inside video,Generic,40,"Company has no Dutch entity, declining employee growth, and no recent funding for expansion.","Potential collaborations with Dutch tech firms for innovative solutions, but lacks strong local presence.",Potential partners include Utrecht University for tech development.,LinkedIn: No recent updates on expansion plans. Website: No evidence of Dutch clients or partnerships. News: No recent funding announcements.,marketing;enterprise software,;;;3000000;3000000;3000000;3545455;3636364;;;,;;;;;0;0;18;3;;;,37,-5,2014,,6.4,jan/2021,EARLY VC,3,Netherlands,Amsterdam,Europe;Netherlands;Amsterdam,https://www.linkedin.com/company/media-distillery/,0,FALSE,Unknown,0,0,0,0,0,0
Nokia Corporation,http://www.nokia.com,,World's third-largest network equipment manufacturer,Generic,0,Already in Netherlands: In NL? = Yes in data.,"Could partner with local firms for innovation projects, aligns with Dutch tech ecosystem needs.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company has employees based in the Netherlands. Website: Company mentions Dutch operations.,telecom,23614000000;23147000000;22563000000;23315000000;21867000000;22202000000;24911000000;22258000000;19220000000;19710000000;20500000000,7;74;-2;-3;3;-6;2;12;-11;-14;3;4,92411,,1865,,40.91,jun/2025,POST IPO DEBT,1500,Finland,Espoo,Europe;Finland;Netherlands;Portugal;Ireland;Espoo;Hoofddorp;Lisbon;Oeiras;Dublin,https://www.linkedin.com/company/nokia,121180,TRUE,Yes,North Holland - 325,67074,Nokia Corporation,France,2021 - Cancelled,"InnovationQuarter
NFIA-HQ"
Suitest,http://suite.st,,"Suitest is a cloud based test automation solution for HbbTV, smart TV, OTT and VOD apps. Tests are performed on real TVs and set top boxes",Generic,50,"Company has a patent indicating innovation; however, lacks recent funding and Dutch presence.",Potential for partnerships with Dutch tech firms and research institutes focusing on innovation and market entry strategies.,Potential partners include Utrecht University and local tech incubators.,LinkedIn: Company has a patent filed in the EU as of 2023. Website: No recent funding rounds or Dutch presence found.,media,;;;;;;;;;;,;;;;;;;;;;;,29,4,2014,,0,may/2015,GROWTH EQUITY VC,,Czechia,Prague,Europe;Czechia;Prague,https://www.linkedin.com/company/suitest/,1,FALSE,Unknown,0,0,0,0,0,0
Cleeng,http://www.cleeng.com,,Subscriber Retention Management (SRM),Generic,60,"Company has a Dutch office in Amsterdam, indicating potential for further expansion in the Netherlands.","Could collaborate with Dutch tech firms for innovative solutions, aligns with local market needs for digital transformation.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company has remote employees in the Netherlands. Website: Dutch office located in Amsterdam.,media;enterprise software,;;6472727;8527273;8527273;8072727;12090909;26181818;;;,;;;;32;0;-5;50;117;;;,124,-7,2011,,6.56,jun/2018,SERIES B,5,Netherlands,Amsterdam,Europe;Netherlands;Amsterdam,https://www.linkedin.com/company/cleeng,0,FALSE,Unknown,0,0,0,0,0,0
Visionular,https://visionular.ai,,Video encoder company,Generic,50,Company has raised funding recently and shows interest in EU market expansion.,Potential collaborations with Dutch tech firms and research institutes in AI and data analytics.,Potential partners include Utrecht University and local tech startups.,LinkedIn: Recent funding round of €8.09M announced in Aug 2023 for international growth. Website: Company seeks to expand into European markets.,enterprise software,;;;;;;;;;;,;;;;;;;;;;;,31,0,2018,,8.09,aug/2023,SERIES A,,United States,Mountain View,North America;United States;Mountain View,https://www.linkedin.com/company/visionular/,0,FALSE,Unknown,0,0,0,0,0,0
Norigin Media,http://noriginmedia.com,,"A Scandinavian company offering streaming TV tech solutions and services for Broadcasters, Pay TV Operators, and content owners",Generic,0,Already in Netherlands: Other office locations shows Norway.,No specific Dutch ecosystem connections identified; potential for future collaboration in tech sectors.,Potential partners include Utrecht University for tech collaborations.,"Website: Company operates primarily in Norway, no Dutch presence found.",media;marketing,;;3499880;3362920;3108389;3155402;3627272;3627272;;;,;;;;-4;-8;2;15;0;;;,31,3,2004,,0,,,,Norway,Oslo,Europe;Norway;Oslo,https://www.linkedin.com/company/norigin-media/,0,FALSE,Unknown,0,0,0,0,0,0
Monks,https://www.monks.com/,,World's leading digital-first marketing and advertising services company,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with local firms for innovative solutions, aligns with Dutch sustainability goals.",Potential partners include TNO and Utrecht University for collaborative projects.,"Website: Company has an office in Hilversum, Netherlands.",media;marketing,0;0;;20775517;21313192;32850066;39684329;36013705;;;,;;;;;3;54;21;-9;;;,6855,-2,2001,,,jan/2022,MERGER,,United Kingdom,London,Europe;United Kingdom;Netherlands;London;Hilversum,,0,FALSE,Unknown,0,0,0,0,0,0
Cyme,http://cyme.io,,Tools for photographers - Stay on top of your photos,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their sector, aligns with local market needs.",Potential connections with local firms in Utrecht Region.,"LinkedIn: Company has a presence in the Netherlands, indicating local operations. Website: Office listed in Netherlands.",education,;;;;;;;;;;,;;;;;;;;;;;,19,0,2019,,0,,,,France,Montpellier,Europe;France;Montpellier,https://www.linkedin.com/company/cymelabs/,0,FALSE,Unknown,0,0,0,0,0,0
Tecnologías Digitales Audiovisuales,http://www.tedial.com,,Cloud-Native media Integration solutions for the M and E industry,Generic,25,"Company has declining employee growth and minimal funding, indicating limited expansion potential.","Could explore partnerships with local startups in the tech sector, but lacks strong signals for immediate engagement.",Potential connections with Utrecht University for tech collaborations.,LinkedIn: No recent updates on expansion plans. Website: Limited information on partnerships or projects in the Netherlands. News: No relevant news articles found.,media,7670593;7080669;5058316;6188392;5389628;5186028;5181818;5336363;;;,;16;-8;-29;22;-13;-4;0;3;;;,66,-3,2000,,0.39,oct/2018,GRANT,0.39,Spain,Málaga,Europe;Spain;Málaga,https://www.linkedin.com/company/tedial/,0,FALSE,Unknown,0,0,0,0,0,0
TransPerfect,http://transperfect.com,,"Solutions for global business, including translations, language services, and globalization management technology",Generic,0,Already in Netherlands: In NL? = Yes in data.,Could collaborate with local firms in North Holland for market expansion.,Potential partners include TNO and Utrecht University for innovation projects.,LinkedIn: Company has employees in Utrecht. Website: Dutch entity confirmed in company name.,marketing,;;;;;;;;1118182;;,;;;;;;;;;;;,12274,,1992,,,jun/2019,DEBT,409.09,United States,New York City,North America;Europe;United States;Portugal;New York City;Lisbon,https://www.linkedin.com/company/transperfect,0,TRUE,Yes,"North Holland - 69
Utrecht - 47",7899,"TransPerfect Global, Inc.","Germany
Hungary
United Kingdom",2006 - Not Involved,"Amsterdam Trade & Invest
NFIA-Americas/New York"
V-nova,http://v-nova.com,,"Dedicated to improving data compression by building a vast portfolio of innovative technologies for data, video, imaging, point cloud compression",Generic,70,"Company has significant funding and patents, indicating growth potential in the EU market.","Could partner with Dutch firms in MedTech and healthcare innovation, aligns with local health initiatives.",Potential connections include UMC Utrecht and Utrecht University for healthcare projects.,LinkedIn: Company raised €33M for European expansion in Jul 2021. Website: 141 patents indicate strong innovation focus. News: Actively seeking partnerships in Europe for market entry.,media,;;505858;217600;475729;199996;39996;286192;;;,;;;;-57;119;-58;-80;616;;;,73,,2011,,71.91,jul/2021,SERIES C,33,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/2760764,141,TRUE,No,0,286945,V-Nova Limited,0,0,0
Vimond Media Solutions,http://vimond.com,,"OTT platform enabling content holders to ingest, manage and distribute their online video library",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO for innovative projects, aligns with Dutch sustainability initiatives.",Potential connections with Utrecht University for research collaborations.,Website: Company has a Dutch office listed in Amsterdam.,media;enterprise software,13315815;13508291;10534615;11484419;11985585;9761115;9277556;9272727;;;,;68;1;-22;9;4;-19;-5;0;;;,42,-2,2007,,0,,,,Norway,Bergen,Europe;Norway;Bergen,https://www.linkedin.com/company/vimond-media-solutions/,0,FALSE,Unknown,0,0,0,0,0,0
QNAP,http://qnap.com,,"Provides a comprehensive range of cutting-edge Network-attached Storage (NAS) and video surveillance solutions based on the principles of usability, high security, and flexible scalability",Generic,0,Already in Netherlands: In NL? = Yes in data.,"Could partner with local firms in the MedTech sector, aligns with Utrecht's health innovation initiatives.",Potential partners include Utrecht University Medical Center and local MedTech startups.,LinkedIn: Company has active projects in the Netherlands. Website: Company mentions Dutch operations.,security;media,;;;;;;;;;;,;;;;;;;;;;;,840,,2004,,0,,,,Taiwan,台北市,Asia;Taiwan;台北市,https://www.linkedin.com/company/qnap-systems-inc/,101,TRUE,Yes,South Holland - 27,38682,"QNAP Systems, Inc.",0,"2024 - Cancelled
2014 - Confirmed
2012 - Confirmed","HIDC
InnovationQuarter
NFIA-HQ
NFIA-NE Asia/Taiwan
TH&P"
Dailymotion,http://www.dailymotion.com,,The biggest independent video sharing website in the world,Generic,60,"Company shows potential for EU expansion with significant funding and employee growth, but lacks Dutch presence.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Potential collaboration with Utrecht University for research initiatives.,LinkedIn: Company announced plans for European expansion in 2024. Website: Recent funding round of €217M aimed at international growth. News: No current Dutch partnerships identified.,media;telecom,;;;;;;;;;;,;;;;;;;;;;;,469,,2005,,62.27,jul/2015,ACQUISITION,217,France,Valbonne,North America;Europe;Asia;United States;United Kingdom;Singapore;France;New York City;Valbonne,https://www.linkedin.com/company/dailymotion/,0,FALSE,Unknown,0,0,0,0,0,0
Veritone,https://www.veritone.com,,The world’s first Cognitive Media Platform,Generic,45,"Company has significant funding and patents, but employee decline and negative growth signal challenges for expansion.","Could explore partnerships with Dutch firms in innovative tech sectors, aligns with local sustainability goals.",Potential partners include TNO and Utrecht University for tech collaborations.,LinkedIn: Company raised €9.09M in Jun 2025 for growth. Website: 86 patents indicate innovation focus. News: Employee growth decline of 19% raises concerns.,marketing,0;13102727;24588182;45134545;52461818;104822727;136116364;115963636;84218182;96090909;118181818,;;;88;84;16;100;30;-15;-27;14;23,454,-19,2014,,62.64,jun/2025,POST IPO EQUITY,9.09,United States,Costa Mesa,North America;United States;Costa Mesa,https://www.linkedin.com/company/veritone-inc-,86,TRUE,No,0,154773,Veritone,0,0,0
Dalet,http://www.dalet.com/,,Software-based solutions for media organizations for their end-to-end workflow,Generic,50,Company has potential for growth but lacks clear Dutch presence or recent funding.,"Could explore partnerships with Dutch firms in innovative tech sectors, aligns with Utrecht's focus on digital solutions.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into European markets, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for international growth.",media;enterprise software,;51000000;55000000;58000000;56000000;55000000;54000000;;;;,;;;8;5;-3;-2;-2;;;;,450,,1990,,,jun/2012,SECONDARY,,France,Levallois-Perret,Europe;North America;Asia;France;United Kingdom;United States;Japan;Israel;Levallois-Perret;London;New York City;Tokyo;Beersheba,https://www.linkedin.com/company/dalet-digital-media-systems/,1,FALSE,Unknown,0,0,0,0,0,0
